@relation dataSet

@attribute id numeric
@attribute clivi numeric
@attribute clt numeric
@attribute clwvi numeric
@attribute hfss numeric
@attribute pr numeric
@attribute prc numeric
@attribute prsn numeric
@attribute prw numeric
@attribute ps numeric
@attribute psl numeric
@attribute rlds numeric
@attribute rldscs numeric
@attribute rlntp numeric
@attribute rlntpcs numeric
@attribute rlus numeric
@attribute rlut numeric
@attribute rlutcs numeric
@attribute rsds numeric
@attribute rsdscs numeric
@attribute rsntp numeric
@attribute rsntpcs numeric
@attribute rsus numeric
@attribute rsuscs numeric
@attribute rsut numeric
@attribute rsutcs numeric
@attribute rtmt numeric
@attribute tas numeric
@attribute tauu numeric
@attribute tauv numeric
@attribute ts numeric
@attribute uas numeric
@attribute vas numeric
@attribute rsdt numeric

@data
95,1604.9594,47428342.5,27399.6555,12037568.5,6.368145,5.625172,0,21174422.5,102326850000,102326850000,353924235,331676315,249968900,260044115,421560240,267045595,276305215,304585120,371871980,370381105,429299850,14027721,17417940.5,102976323,45179081,123990615,291664570,-11866.5015,-1679.18905,293588585,-1326517.7,-310811.55,494012530
109,35103.2055,46803938.5,183507.175,63683169,20.584841,12.069455,0,23349103,97692860000,101323247500,356243695,338437225,244106590,264455100,428107050,261067695,279760485,272849975,373490720,307303475,385610480,49658697.5,67975310,164702900,87915577.5,68194291.5,292622530,-102180.47,-19770.832285,294254350,-1470015.05,-203077.99315,493964875
82,77277.395,78988005,130945.88,1602683.05,39.199607,17.204075,8.943109,10436909,98302138000,98302135000.000016,287479860,250710110,187060800,217074390,343486740,214401985,242091070,243212600,353367370,296161080,393851275,14382641.5,21350422,151812815,56092901,106209112,278553980,184240.155,-38937.28095,278942335,8139812,-2433645.55,472423900
202,21113.595,90304075,25758.107,-19191150.5,3.965969,0.002277,3.965954,2380498.55,99834453000.000016,101591337999.999984,176069930,144727115,146745910,155530130,203498745,163387445,171696250,345487.12,453646.1,268029.035,321187.15,232199.385,304710.715,681516.65,628787,-162831805,245077975,84668.139,104102.935,244089930,1411516.25,2057269.3,1237156
98,64963.8365,89309540,106420.015,37740507,51.529957,37.842279,22.986368,8587295,99764049999.999984,100100864999.999984,289111635,246649620,185153320,221385210,354161100,202492925,236086830,9943728.8,15212560,13011040.5,18192444,1763615.5,2739147.85,14967662.5,9860284.85,-185302795,278057610,55716.9445,73942.709,281083415,2806932.9,3107023.6,32157799
251,60098.7575,56264844,125556.305,8039870,37.941572,20.258001,0,29231929,101422510000.000016,101422505000,371900850,352895950,230955880,261198900,427109530,248968730,276682250,272137040,366248430,343290650,429230470,12421108.5,16958102.5,129371937,45186048.5,115648340,293750610,-89950.144,-5636.22015,294557250,-5045897.75,-732610.62,493989015
217,17961.8835,64615977.5,24768.503,-669504.85,9.035158,3.404161,9.033383,2577540.05,91735711000,98078480000.000016,199123160,170332130,171390700,182840310,259542720,199297705,210060335,344225415,395907025,133122847.5,143632170,267312110,305939680,326853865,316400775,-37366798,260331740,-67525.543,-86577.92,259738510,-1463042.2,-967097.2,488784765
8,15932.78575,62153635,19874.025,-2499524.7,5.422381,0.861661,5.421974,3327608.8,97465640000,97897985000,203201400,183124525,175144190,185713875,269421300,203530250,213497475,353186470,388425585,148828810,156340195,265258600,291544985,311351930,303872170,-26084586.9,262581745,-11687.176,43843.375,262192250,-167121.76,2077689.1,488797600
221,30973.788,76423430,112097.545,29883592.5,65.584761,65.546638,0,42831896,98335072500.000016,100804962500,407195345,396229085,209652185,259686570,456427735,225878420,274294050,219894155,330423310,270991865,366164310,32764228.5,49233074,160148520,67596352,66232117,299400525,-39173.9245,-26743.7715,299373800,-529647.1,-304381.205,452259045
1,35724.4485,63828637,102123.4135,7012856,108.023315,86.698794,0,46725463,100739475000,100754584999.999984,412600830,402647015,214385420,260517215,461805930,230615840,275777585,271536815,347785920,344504285,418071170,12311284,16027938.5,113283617.5,42566482.5,135515640,299337870,-48850.9795,-3506.5027,300364475,-3777593,-487147.88,479415100
